Number of Nodes,Not Weighted List,Weighted List,Disjoint Forest
50,0.2689,0.2273,0.2467
100,0.6759,0.4763,0.521
150,1.1318,0.7384,0.8059
200,1.6351,1.0204,1.0992
250,2.4335,1.3115,1.4041
300,2.7732,1.6153,1.7268
350,3.4567,1.9085,2.1655
400,4.3717,2.3658,2.3789
450,4.6787,2.57,2.7378
500,5.8009,2.9186,3.1964
550,6.3395,3.2782,3.4292
600,7.3938,3.6225,3.8034
650,8.4392,4.0091,4.1862
700,9.3006,4.6858,4.5704
750,10.2341,5.1673,5.1078
800,11.0559,5.4396,5.513
850,12.1792,5.9815,5.8078
900,12.3745,6.1533,6.2037
950,14.9134,6.4842,6.6479
1000,16.6076,6.8859,7.1074
1050,16.4601,7.3762,7.7238
1100,17.8964,7.8316,8.1071
1150,18.2878,8.4196,8.5743
1200,20.363,8.8843,9.1658
1250,21.7441,9.4323,9.5606
1300,22.4299,9.8643,10.1157
1350,23.6792,10.3034,10.6482
1400,27.1321,10.9637,11.1519
1450,26.8342,11.5232,11.7075
1500,28.3427,12.2037,11.9538
1550,29.9444,12.5241,12.4672
1600,30.2856,13.1758,13.3567
1650,31.9217,13.5618,13.7561
1700,33.3936,14.2359,14.3536
1750,35.327,14.8399,15.0223
1800,37.6189,15.3275,15.5096
1850,41.3209,16.1486,15.9649
1900,42.2917,16.6889,16.5347
1950,41.9079,17.3143,17.064
2000,42.742,17.7749,18.3512
2050,45.9171,18.7455,19.1421
2100,48.1646,19.72,19.0839
2150,53.4058,20.3117,19.6026
2200,50.2145,20.7482,20.3617
2250,52.1105,21.1329,21.111
2300,50.9412,21.9162,21.6522
2350,57.3205,22.796,22.6369
2400,55.9991,23.3394,23.3568
2450,62.4074,24.158,24.0963
2500,63.2557,24.704,24.4273
2550,65.303,26.586,25.791
2600,64.0801,27.3344,26.3693
2650,68.764,27.416,26.8347
2700,68.4502,27.7889,27.5489
2750,61.8109,28.6484,28.1014
2800,73.4251,29.7222,28.725
2850,75.156,30.9735,29.5867
2900,78.611,31.91,30.476
2950,82.7371,32.2047,31.7667
3000,78.6179,33.0648,32.3477
